Captain ID,Number of Door Step Deliveries
2566470,52
2743004,38
2744050,36
2743100,31
2111898,31
1603728,28
2406565,28
2743134,25
2236015,23
2488614,23
2373118,21
2734031,19
2516043,19
2595716,17
2420774,17
2255951,17
2659938,17
2571964,16
2574320,15
2602572,15
2420806,15
2719965,14
2640717,13
2375606,13
2361501,13
2657172,13
2643689,12
2522578,12
2500924,12
2500132,12
2550406,12
2466528,11
2530261,11
2307918,11
2182618,11
2636152,11
2730674,11
2698705,10
2346839,10
2744188,10
2677740,10
2720229,10
2643620,10
2331176,10
2136632,10
2725680,10
2554977,10
2355986,9
2338689,9
2307866,9
2236404,9
2073375,9
2633485,9
2481111,9
2734044,9
2070910,9
2572053,9
2681651,9
2657476,9
2431087,9
2733122,9
2583198,9
2199870,9
2264462,9
2315445,9
2383390,9
2431160,8
2490978,8
959716,8
2367549,8
2205869,8
2589759,8
2073148,8
2071028,8
2369520,8
2444632,8
2743058,8
2678075,8
2728351,8
1657554,8
2659634,8
2359701,8
2547646,8
2708708,7
2266561,7
2492237,7
2162408,7
2540102,7
2228771,7
2348692,7
2495121,7
2681524,7
2206297,7
2162400,7
2236863,7
2661137,7
2428375,7
2728355,7
2631327,7
2224978,7
2159114,7
2490964,7
2387803,7
2049628,7
2425338,7
2657359,7
2604770,7
2673702,7
2489717,7
2735956,7
2661016,7
2430156,7
2445825,7
2286522,7
2542487,7
2698709,7
2192711,7
2125225,7
2072384,7
2438793,6
2242404,6
2692335,6
2498151,6
2538128,6
2071562,6
2512006,6
2314744,6
2253701,6
2584389,6
2325223,6
2628242,6
2568462,6
2470821,6
2377144,6
2726764,6
2147684,6
2464894,6
2678117,6
2633101,6
2524254,6
2277571,6
2701160,6
2496788,6
2487226,6
2651280,6
2045716,6
2552791,6
2599083,6
2094783,6
2542420,6
2686094,6
2390996,6
2221213,6
2563774,6
2548605,6
2422142,6
2688138,6
2210346,6
2558629,6
2569839,6
2316046,6
2288699,5
2407739,5
2399397,5
2071012,5
2495422,5
2417391,5
2424124,5
2110488,5
2643745,5
2341720,5
2471220,5
2455670,5
2399104,5
2331434,5
2385370,5
2277440,5
2399750,5
2075845,5
2507030,5
2672880,5
2676756,5
2475741,5
2122443,5
2467145,5
2430865,5
2596833,5
2073508,5
2467638,5
2555271,5
2680830,5
2237998,5
2565693,5
2353420,5
2349760,5
2585319,5
