Captain ID,Number of Door Step Deliveries
2566470,52
2743004,38
2744050,36
2111898,31
2743100,31
2406565,28
1603728,28
2743134,25
2488614,23
2236015,23
2373118,21
2734031,19
2516043,19
2255951,17
2420774,17
2595716,17
2659938,17
2571964,16
2574320,15
2420806,15
2602572,15
2719965,14
2375606,13
2640717,13
2657172,13
2361501,13
2522578,12
2643689,12
2500924,12
2550406,12
2500132,12
2730674,11
2182618,11
2636152,11
2307918,11
2466528,11
2530261,11
2725680,10
2698705,10
2136632,10
2554977,10
2744188,10
2720229,10
2331176,10
2643620,10
2677740,10
2346839,10
2338689,9
2264462,9
2481111,9
2073375,9
2199870,9
2681651,9
2633485,9
2307866,9
2572053,9
2315445,9
2355986,9
2236404,9
2383390,9
2070910,9
2734044,9
2733122,9
2583198,9
2657476,9
2431087,9
2659634,8
2071028,8
2369520,8
2743058,8
2367549,8
2359701,8
2589759,8
2444632,8
2205869,8
2728351,8
2678075,8
1657554,8
2547646,8
959716,8
2431160,8
2490978,8
2073148,8
2735956,7
2495121,7
2162400,7
2490964,7
2698709,7
2661016,7
2445825,7
2661137,7
2489717,7
2540102,7
2072384,7
2657359,7
2192711,7
2430156,7
2125225,7
2286522,7
2387803,7
